股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
必易微,1.17%,3.09%,0.3784133720930235
模塑科技,2.68%,7.09%,0.3779487179487182
通达电气,1.3%,3.46%,0.3761034482758632
中旗新材,1.74%,4.63%,0.3759642857142853
派生科技,1.46%,3.9%,0.37473333333333303
圣泉集团,5.5%,14.71%,0.3739644012944984
森麒麟,1.81%,4.85%,0.3730743421052623
星华新材,1.25%,3.36%,0.3725000000000004
永冠新材,1.53%,4.12%,0.3714947368421051
长华集团,3.06%,8.25%,0.3711139534883724
东芯股份,2.97%,8.02%,0.37037038327526167
精艺股份,1.15%,3.12%,0.3690952380952382
三利谱,2.16%,5.85%,0.3689513513513511
新国都,1.54%,-4.17%,0.36889999999999956
立达信,1.73%,4.69%,0.3684900000000004
丰乐种业,1.63%,4.47%,0.36445128205128324
圣阳股份,1.87%,5.13%,0.36445106382978676
正裕工业,1.83%,5.02%,0.36433636363636407
园林股份,1.86%,5.12%,0.3630321428571426
嘉澳环保,1.58%,4.37%,0.3615274074074071
朗科智能,1.13%,-3.15%,0.35904838709677367
百花医药,3.71%,10.33%,0.3589970588235295
浙海德曼,1.06%,-2.96%,0.3583702127659565
华升股份,1.23%,3.46%,0.35505999999999915
北京君正,2.55%,7.21%,0.35351726844583964
隆华新材,1.2%,3.41%,0.35177142857142896
长高电新,1.66%,4.73%,0.3510411764705884
华纳药厂,1.42%,4.06%,0.3496317073170731
三超新材,1.19%,3.41%,0.3491800000000004
建研设计,1.54%,4.42%,0.34872894736842197
正和生态,1.45%,4.16%,0.34840277777777834
汇创达,1.17%,3.37%,0.3473267441860467
同大股份,1.33%,3.83%,0.3471081967213108
森远股份,1.26%,3.64%,0.3459272727272732
筑博设计,1.37%,-3.96%,0.3456615384615387
超越科技,2.62%,7.59%,0.34526134969325173
力鼎光电,4.15%,12.05%,0.34431100478468907
科泰电源,1.32%,3.86%,0.34154999999999963
一鸣食品,2.86%,8.4%,0.3403078651685391
优彩资源,3.03%,8.93%,0.3391645161290327
本立科技,1.37%,4.06%,0.33715365853658524
南钢股份,1.2%,3.58%,0.3349999999999997
粤桂股份,1.03%,3.1%,0.3326899999999997
原尚股份,1.64%,4.96%,0.33057714285714235
纵横通信,1.08%,-3.27%,0.32979512195121946
强力新材,1.96%,5.98%,0.32794999999999963
优利德,1.35%,-4.13%,0.32722081218274135
海能实业,1.01%,-3.09%,0.3270716666666659
嘉亨家化,1.43%,-4.38%,0.3267473118279571
美邦股份,1.38%,4.27%,0.323238461538461
新通联,1.11%,3.45%,0.3218999999999997
元力股份,4.87%,15.2%,0.32047076271186425
仁智股份,2.45%,7.65%,0.32031481481481483
斯瑞新材,4.47%,13.97%,0.3198592814371258
珠城科技,2.06%,6.44%,0.3196551724137931
久量股份,1.93%,6.08%,0.3172437500000004
潜能恒信,2.75%,8.76%,0.31398734177215143
神农集团,2.31%,7.41%,0.3116292993630573
燕麦科技,1.53%,-4.96%,0.30830322580645164
上海谊众,1.22%,3.98%,0.30668275862069067
上能电气,3.38%,11.09%,0.3048709677419354
盛帮股份,1.18%,3.89%,0.30334634146341444
浙江永强,1.58%,5.22%,0.3025699999999998
沪宁股份,2.23%,7.45%,0.2993725663716812
凤凰股份,1.14%,3.85%,0.29640000000000066
澜起科技,1.81%,6.13%,0.2954917888563053
金禄电子,3.31%,11.26%,0.2940465671641792
宁波色母,1.08%,3.67%,0.29390400000000005
双乐股份,2.11%,7.19%,0.2935867187499997
安车检测,1.77%,6.03%,0.2934115384615377
通业科技,2.82%,9.67%,0.2917722772277222
光华股份,1.36%,4.79%,0.28378666666666685
如通股份,1.09%,3.87%,0.2815390243902438
众源新材,1.55%,5.51%,0.2811136363636363
伊戈尔,1.02%,3.65%,0.27980000000000016
万德斯,1.02%,3.69%,0.2761285714285718
万里马,2.1%,7.62%,0.2755714285714285
中创环保,1.42%,5.16%,0.27492777777777755
德美化工,1.11%,4.06%,0.2731392857142855
欧亚集团,1.1%,4.03%,0.2729795918367346
严牌股份,1.68%,6.19%,0.2713200000000001
雅创电子,4.54%,16.85%,0.26951329479768793
东来技术,1.61%,5.99%,0.2685951219512194
江苏博云,1.72%,6.47%,0.26601095890410936
智翔金泰,2.29%,8.62%,0.26556612903225835
铖昌科技,2.76%,10.42%,0.26479034028540066
亚振家居,1.37%,5.19%,0.2638518518518522
精达股份,1.01%,3.84%,0.2632312499999998
天禄科技,1.64%,6.32%,0.25948875739644944
永茂泰,2.29%,8.84%,0.2590734939759036
上声电子,3.83%,14.87%,0.2575267254038178
中曼石油,1.49%,5.8%,0.256832989690721
瑞丰银行,1.23%,4.8%,0.2561608695652179
哈尔斯,2.42%,9.48%,0.2552709677419355
博力威,1.13%,4.44%,0.2545658385093169
迈信林,1.38%,-5.49%,0.25144067796610176
普源精电,1.4%,-5.6%,0.25019631901840506
瑞德智能,1.01%,-4.06%,0.2489830357142855
翔鹭钨业,1.31%,5.29%,0.24770909090909124
南方精工,5.79%,-23.46%,0.24682993197278916
海光信息,2.51%,10.19%,0.24632770562770587
聚杰微纤,1.27%,5.16%,0.2459691176470589
统一股份,1.17%,4.77%,0.24522244897959172
华工科技,5.08%,20.82%,0.2439939393939392
金达莱,2.78%,11.43%,0.24312049689441007
招标股份,1.15%,4.73%,0.24311718749999986
海螺新材,1.17%,4.83%,0.24247241379310341
博闻科技,1.13%,4.68%,0.24149714285714313
铜峰电子,1.45%,6.02%,0.2410222222222227
石化机械,1.26%,5.23%,0.24076216216216212
*ST正邦,1.28%,5.32%,0.2404571428571426
安凯客车,1.08%,4.52%,0.23889600000000005
索菱股份,2.87%,12.05%,0.23812031249999974
建霖家居,1.02%,4.28%,0.23807727272727203
江淮汽车,2.99%,12.61%,0.23709166666666653
海昌新材,2.03%,8.59%,0.236282558139535
瑞泰新材,1.38%,5.89%,0.23424310344827584
唯赛勃,2.13%,9.13%,0.23318627450980373
方大集团,1.46%,6.28%,0.2325931034482758
康众医疗,1.4%,6.03%,0.23205309734513296
多瑞医药,1.4%,6.06%,0.23094964028776965
冠农股份,1.78%,7.76%,0.22933623188405822
龙韵股份,1.16%,5.06%,0.22929863013698615
西部牧业,1.26%,5.51%,0.22885116279069737
科隆股份,1.44%,6.3%,0.22865454545454542
科信技术,5.88%,25.74%,0.22846396181384263
智莱科技,1.48%,6.5%,0.22779130434782566
道明光学,1.07%,4.72%,0.2266454545454545
信濠光电,1.34%,5.93%,0.22606853932584306
天晟新材,1.46%,6.47%,0.22573846153846092
青岛双星,1.33%,5.9%,0.22556800000000007
信德新材,1.92%,8.52%,0.22529855072463764
岱勒新材,3.84%,17.19%,0.22339696048632224
准油股份,2.04%,9.19%,0.22197966101694921
锌业股份,2.31%,10.43%,0.2214882352941174
朝阳科技,1.65%,7.47%,0.22085344827586179
深圳新星,1.14%,5.2%,0.21935604395604394
英可瑞,1.23%,5.62%,0.21888188976377965
纳睿雷达,1.81%,8.46%,0.21403452914798204
国能日新,1.42%,6.65%,0.2135987951807227
金刚光伏,1.21%,-5.7%,0.21237051282051297
广和通,1.17%,5.52%,0.2119649999999995
日联科技,1.83%,8.78%,0.20844348153730255
唐源电气,2.16%,10.38%,0.2080975609756097
中自科技,2.62%,12.71%,0.20612116182572615
盛弘股份,4.14%,20.64%,0.2006093959731545
道氏技术,1.0%,5.0%,0.19999999999999965
农发种业,2.04%,10.27%,0.19866818181818202
三晖电气,1.13%,5.74%,0.1969864864864866
拉卡拉,2.43%,12.41%,0.195876168224299
皓元医药,1.54%,7.87%,0.19561789709172264
雷科防务,1.46%,7.47%,0.19541538461538432
贵州轮胎,3.42%,17.54%,0.19497525773195878
大华股份,1.92%,9.88%,0.19426461538461548
超卓航科,1.2%,-6.19%,0.19397260273972594
侨银股份,2.18%,11.28%,0.19332713178294558
开勒股份,4.33%,22.42%,0.193142928660826
宇通重工,1.42%,7.36%,0.1930148148148147
益生股份,1.67%,8.71%,0.1916598130841121
金新农,1.03%,5.5%,0.18724871794871767
耐普矿机,1.98%,10.59%,0.18702650602409623
华峰铝业,2.04%,10.92%,0.18679183673469404
东睦股份,1.19%,6.37%,0.18675714285714315
福鞍股份,1.04%,5.57%,0.18671249999999984
神农科技,2.72%,14.78%,0.18403404255319158
郑中设计,1.29%,7.02%,0.18370555555555557
惠发食品,1.3%,7.09%,0.18344444444444435
普冉股份,3.34%,18.23%,0.1832593895499224
德昌股份,3.11%,17.02%,0.18277883959044372
深中华A,1.78%,9.76%,0.1823414634146341
家联科技,1.02%,5.62%,0.18139175257731976
英唐智控,1.44%,7.99%,0.1801756097560975
德明利,3.76%,20.93%,0.17967786666666663
西部黄金,1.16%,6.55%,0.17700740740740728
凤竹纺织,1.99%,11.25%,0.17681639344262287
丽岛新材,1.23%,6.96%,0.17665875000000025
邵阳液压,2.02%,11.49%,0.1758017467248909
三祥新材,1.06%,6.04%,0.17543595505617998
长安汽车,1.62%,9.29%,0.17442000000000013
均普智能,2.34%,13.43%,0.17420000000000005
致欧科技,2.44%,14.1%,0.17304736842105245
麒麟信安,2.35%,13.7%,0.17155744849445315
元道通信,1.02%,-5.97%,0.1707443786982251
石头科技,1.68%,9.89%,0.16991999999999982
北特科技,1.63%,9.65%,0.16899264705882341
电连技术,3.42%,20.25%,0.16887577639751547
易德龙,1.57%,9.35%,0.1679517073170731
顺威股份,1.21%,7.21%,0.16773103448275858
禾川科技,1.72%,-10.35%,0.16618492871690435
锦盛新材,1.22%,7.41%,0.16454358974358949
华力创通,1.5%,9.35%,0.16045454545454543
诚邦股份,2.17%,13.53%,0.16036829268292677
大连友谊,1.47%,9.17%,0.1603636363636362
开能健康,1.29%,8.3%,0.15539999999999976
均胜电子,2.62%,16.96%,0.15446531986531992
鲁西化工,1.37%,8.87%,0.15442282608695654
永悦科技,3.27%,21.27%,0.1537354166666665
兆易创新,1.13%,7.45%,0.15166471337579632
大地海洋,1.53%,10.12%,0.1512260869565219
铂力特,1.82%,12.1%,0.15044427860696516
仙坛股份,1.27%,8.47%,0.14989848484848503
富祥药业,1.09%,7.28%,0.1497252747252747
中集车辆,2.19%,14.69%,0.14911147540983624
珠海冠宇,2.28%,15.42%,0.1478591362126245
金盘科技,1.04%,7.06%,0.14723428571428587
皖通科技,1.02%,7.04%,0.14492500000000016
赢合科技,1.37%,9.47%,0.14460182926829263
美力科技,1.53%,10.68%,0.14325000000000007
爱丽家居,1.01%,7.11%,0.14196111111111087
硕贝德,1.63%,11.53%,0.14138105263157907
奥比中光,2.34%,-16.58%,0.14113025780189956
招商南油,1.06%,7.55%,0.1403238095238093
安德利,2.13%,15.21%,0.14006363636363645
京东方A,1.06%,7.58%,0.13992000000000007
锡业股份,1.1%,7.92%,0.138957264957265
凯发电气,1.16%,8.37%,0.13857297297297294
南都电源,1.38%,10.01%,0.1378539682539682
未来电器,4.52%,33.01%,0.13693431734317343
经纬恒润,2.36%,17.37%,0.13583476577622913
联创电子,3.04%,22.52%,0.13499905213270133
真视通,1.26%,9.36%,0.1346349650349649
松井股份,1.13%,8.47%,0.133421686746988
海特生物,1.19%,9.08%,0.13107500000000008
棒杰股份,1.34%,10.36%,0.12936790123456782
莱斯信息,1.94%,15.05%,0.12887416173570018
锦富技术,5.31%,42.07%,0.1262262857142857
欧科亿,1.01%,8.06%,0.12537931034482766
力合微,1.17%,9.55%,0.12247209302325564
台基股份,1.04%,8.54%,0.12175428571428581
中汽股份,1.43%,11.81%,0.12106027397260267
新洋丰,1.16%,9.62%,0.12054432989690714
雅克科技,1.19%,9.91%,0.12011835535976499
山煤国际,1.25%,10.42%,0.11998299319727884
华统股份,1.51%,12.63%,0.11957360406091366
亚太股份,2.63%,22.03%,0.11936153846153838
荣昌生物,2.42%,20.68%,0.1170454706927176
中海达,1.4%,12.22%,0.11456097560975605
晶晨股份,1.07%,9.59%,0.1115401985111662
华中数控,1.09%,-9.79%,0.1113267307692307
华锐精密,1.26%,11.35%,0.1110176470588234
方正科技,2.03%,18.64%,0.1089173076923077
祥鑫科技,1.56%,14.37%,0.1085260482846252
昂利康,1.22%,11.54%,0.1057333333333333
艾为电子,2.35%,22.33%,0.10522879377431905
芯海科技,1.43%,13.93%,0.10268512585812355
复旦微电,1.81%,17.77%,0.10187238204833135
国力股份,1.16%,11.43%,0.10150000000000009
大地熊,2.08%,20.8%,0.10000885608856086
海马汽车,1.13%,11.33%,0.09977659574468091
浩洋股份,1.18%,11.86%,0.09947859984089095
通化金马,1.42%,14.35%,0.09898235294117651
