代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sh688037,芯源微,250999999.99999997,16268500.0,14446900.0,1821600.0,273000000.0
sh603609,禾丰股份,128000000.0,5177300.0,3358600.0,1818700.0,129000000.0
sz301181,标榜股份,47739799.99999999,5895400.0,4082500.0,1812900.0,47739799.99999999
sz002601,龙佰集团,839000000.0,8953300.0,7141200.0,1812100.0,867000000.0
sz300825,阿尔特,438999999.99999994,5511200.0,3702200.0000000005,1808899.9999999998,440000000.00000006
sz300019,硅宝科技,124000000.0,3144500.0,1341300.0,1803200.0,124000000.0
sz002906,华阳集团,148000000.0,10412400.0,8611900.0,1800600.0,154000000.0
sh688207,格灵深瞳,127000000.0,4038800.0,2238300.0,1800500.0,173000000.0
sh603659,璞泰来,595000000.0,10559400.0,8759800.0,1799600.0,707000000.0
sz300928,华安鑫创,145000000.0,14779000.0,12981199.999999998,1797800.0,145000000.0
sh601702,华峰铝业,52911500.0,4694000.0,2897300.0,1796699.9999999998,59521300.0
sz001367,海森药业,54859000.0,5699100.0,3903200.0,1795900.0,54859000.0
sh600757,长江传媒,275000000.0,32545100.000000004,30749699.999999996,1795400.0,278000000.0
sz000869,张裕Ａ,273000000.0,4197300.0,2407700.0,1789600.0,282000000.0
sz002596,海南瑞泽,164000000.0,13720200.0,11931400.000000002,1788800.0,166000000.0
sh601778,晶科科技,457000000.0,7488300.0,5702500.0,1785800.0000000002,575000000.0
sh600501,航天晨光,268000000.00000003,7814299.999999999,6031799.999999999,1782500.0,268000000.00000003
sz002832,比音勒芬,56193700.0,2958600.0,1180500.0,1778000.0,70180800.0
sz000422,湖北宜化,264000000.0,6096600.0,4320300.0,1776300.0,276000000.0
