代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sh688091,上海谊众,55.75,-1.21%,1.41%,45710000.0,43550200.00000001,2159800.0,89260200.0
sh603993,洛阳钼业,5.73,-1.21%,0.81%,432000000.0,401000000.0,30651100.0,833000000.0
sz300516,久之洋,27.86,-1.21%,0.96%,20854500.0,28440500.0,7586000.0,49295000.0
sz300449,汉邦高科,5.7,-1.21%,4.70%,38098600.0,42928000.0,4829400.0,81033700.0
sz001328,登康口腔,35.73,-1.22%,20.25%,132000000.0,178000000.0,45993600.0,309000000.0
sz301286,侨源股份,28.25,-1.22%,1.79%,5633800.0,14727000.0,9093200.0,20360900.0
sz300258,精锻科技,12.13,-1.22%,2.84%,76305500.0,87793400.0,11488000.0,164000000.0
sz001301,尚太科技,51.46,-1.23%,1.71%,18984900.0,39958900.0,20974000.0,58943800.0
sz001201,东瑞股份,23.35,-1.23%,2.20%,24920700.0,23223000.0,1697700.0,48143700.0
sh688377,迪威尔,23.2,-1.23%,1.25%,14814200.0,35669600.0,20855400.0,50483700.0
sz300992,泰福泵业,19.31,-1.23%,2.98%,11868400.0,13752800.0,1884300.0,25621200.0
sh603706,东方环宇,15.32,-1.23%,1.98%,26517399.999999996,32317199.999999996,5799800.0,58834700.0
sz300666,江丰电子,54.0,-1.23%,2.21%,113999999.99999999,143000000.0,29266500.0,256999999.99999997
sz301366,一博科技,32.11,-1.23%,7.65%,43479500.0,44817500.0,1338000.0,88297099.99999999
sz301072,中捷精工,22.38,-1.24%,5.82%,19431000.0,25043700.0,5612600.0,44474600.0
sh605020,永和股份,27.91,-1.24%,1.61%,35850400.0,43859600.0,8009100.0,79710000.0
