,BOARD_CODE,BOARD_NAME,INDEX_CHANGE_RATIO,TRADE_DATE,COMPOSITION_QUANTITY_ADD,COMPOSITION_QUANTITY,ADD_MARKET_CAP,ADD_RATIO,BOARD_VALUE,ADD_BOARD_RATIO,ADD_HK_RATIO,HK_VALUE,BOARD_HK_RATIO,HK_BOARD_RATIO,MAXADD_SECURITY_CODE,MAXADD_SECUCODE,MAXADD_SECURITY_NAME,MINADD_SECURITY_CODE,MINADD_SECUCODE,MINADD_SECURITY_NAME,MAXADD_RATIO_SECURITY_NAME,MAXADD_RATIO_SECURITY_CODE,MAXADD_RATIO_SECUCODE,MINADD_RATIO_SECURITY_NAME,MINADD_RATIO_SECURITY_CODE,MINADD_RATIO_SECUCODE,IS_NEW,SECURITY_CODE,MAXHOLD_MARKETCAP_NAME,MAXHOLD_MARKETCAP_SECURITYCODE,MAXHOLD_MARKETCAP_SECUCODE
0,16084,专业服务,-0.07,2023-06-27 00:00:00,9,12,10570677.43,0.19116794,141013837360.56,7.4961987e-05,5.517274e-06,5590811484.47,0.002918075676,0.039647254405,688133,688133.SH,泰坦科技,3035.0,003035.SZ,南网能源,泰坦科技,688133,688133.SH,南网能源,3035.0,003035.SZ,0,BK1043,300012.SZ,300012,300012.SZ
1,16082,医疗器械,-0.63,2023-06-27 00:00:00,41,73,588761.3848,0.00084411,1336612472337.27,4.40488e-07,3.07299e-07,69861486412.46,0.036463598310999996,0.052267570338,300832,300832.SZ,新产业,2223.0,002223.SZ,鱼跃医疗,科华生物,2022,002022.SZ,海泰新光,688677.0,688677.SH,0,BK1041,300760.SZ,300760,300760.SZ
2,16042,综合行业,-0.38,2023-06-27 00:00:00,6,9,251789.4492,0.0174735,116949021612.25,2.1529849999999998e-06,1.31419e-07,1466593434.5,0.000765475752,0.012540450653,600673,600673.SH,东阳光,158.0,000158.SZ,常山北明,综艺股份,600770,600770.SH,常山北明,158.0,000158.SZ,0,BK0539,000009.SZ,9,000009.SZ
3,16083,医药商业,0.01,2023-06-27 00:00:00,12,19,-2081071.6324,-0.01362931,362750018102.87,-5.73693e-06,-1.086197e-06,15368039415.66,0.008021215191,0.042365371878,601607,601607.SH,上海医药,603939.0,603939.SH,益丰药房,瑞康医药,2589,002589.SZ,柳药集团,603368.0,603368.SH,0,BK1042,603939.SH,603939,603939.SH
4,16080,电子化学品,-0.53,2023-06-27 00:00:00,10,16,-5775917.2147,-0.24311408,173209716258.12,-3.3346381e-05,-3.01469e-06,2355937216.28,0.001229661044,0.013601645838,300054,300054.SZ,鼎龙股份,300576.0,300576.SZ,容大感光,濮阳惠成,300481,300481.SZ,容大感光,300576.0,300576.SZ,0,BK1039,300054.SZ,300054,300054.SZ
5,16073,风电设备,-0.21,2023-06-27 00:00:00,10,17,-7512150.7775,-0.06408748,266831669498.96,-2.8153145e-05,-3.920902e-06,11794698552.58,0.006156140848,0.044202768639999994,300185,300185.SZ,通裕重工,300129.0,300129.SZ,泰胜风能,通裕重工,300185,300185.SZ,泰胜风能,300129.0,300129.SZ,0,BK1032,601615.SH,601615,601615.SH
6,16025,造纸印刷,-0.39,2023-06-27 00:00:00,11,15,-7922377.7234,-0.28010969,174127458536.45,-4.5497579e-05,-4.135016e-06,2849334012.28,0.001487185232,0.016363496236,600433,600433.SH,冠豪高新,815.0,000815.SZ,美利云,冠豪高新,600433,600433.SH,美利云,815.0,000815.SZ,0,BK0470,002831.SZ,2831,002831.SZ
7,16085,生物制品,-0.19,2023-06-27 00:00:00,24,41,-8038374.1127,-0.05695798,987451331279.47,-8.140527e-06,-4.19556e-06,14202594408.49,0.007412921254,0.014383082952,300142,300142.SZ,沃森生物,661.0,000661.SZ,长春高新,未名医药,2581,002581.SZ,长春高新,661.0,000661.SZ,0,BK1044,300122.SZ,300122,300122.SZ
8,16076,美容护理,-0.28,2023-06-27 00:00:00,9,14,-15562507.3324,-0.09362787,347073276150.01,-4.4839256e-05,-8.122716e-06,17072778738.88,0.008910989129,0.049190703843,300957,300957.SZ,贝泰妮,300896.0,300896.SZ,爱美客,水羊股份,300740,300740.SZ,名臣健康,2919.0,002919.SZ,0,BK1035,603605.SH,603605,603605.SH
9,16001,航空机场,0.27,2023-06-27 00:00:00,6,13,-22118934.3934,-0.12370236,748378083088.15,-2.9555829e-05,-1.1544786e-05,18132568796.46,0.00946413738,0.024229155298,600029,600029.SH,南方航空,600009.0,600009.SH,上海机场,华夏航空,2928,002928.SZ,中信海直,99.0,000099.SZ,0,BK0420,600009.SH,600009,600009.SH
