行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16053,包装材料,-1.06,2023-08-08 00:00:00,3,10,-9721577.049,-1.13654385,72098385545.21,-0.000134837652,-4.9886439999999995e-06,843837402.69,0.000433016641,0.011703970849,2374.0,中锐股份,2191.0,劲嘉股份,中锐股份,2374.0,劲嘉股份,2191.0,2701
16013,家用轻工,-1.31,2023-08-08 00:00:00,4,9,-11850684.2767,-0.33862302,109716356412.45,-0.00010801201099999999,-6.081199e-06,3463321127.65,0.001777209301,0.031566133263,603398.0,沐邦高科,2489.0,浙江永强,齐心集团,2301.0,浙江永强,2489.0,603899
16010,纺织服装,-1.11,2023-08-08 00:00:00,11,23,-13741741.202,-0.28353857,310747293036.45,-4.4221596e-05,-7.051599e-06,4835427713.84,0.002481308198,0.015560643076,2154.0,报喜鸟,300979.0,华利集团,报喜鸟,2154.0,航民股份,600987.0,2563
16045,装修装饰,-1.29,2023-08-08 00:00:00,2,6,-14050773.2008,-2.05335176,48760196799.87,-0.000288160716,-7.210179e-06,667506672.61,0.000342532218,0.013689581183,300592.0,华凯易佰,601886.0,江河集团,华凯易佰,300592.0,亚厦股份,2375.0,2081
16065,橡胶制品,-1.12,2023-08-08 00:00:00,6,14,-16567806.7073,-0.45893067,212960107473.78,-7.7797701e-05,-8.501799e-06,3632081566.09,0.001863809015,0.017055220385,601966.0,玲珑轮胎,2068.0,黑猫股份,玲珑轮胎,601966.0,黑猫股份,2068.0,601966
16048,环保行业,-0.54,2023-08-08 00:00:00,17,32,-16855378.2645,-0.39287609,318953159805.63,-5.2845936e-05,-8.649367e-06,4229422136.64,0.002170335375,0.013260323676,2717.0,岭南股份,300203.0,聚光科技,岭南股份,2717.0,聚光科技,300203.0,603279
16063,汽车服务,-1.73,2023-08-08 00:00:00,3,7,-18098897.2076,-2.80404694,82492696199.16,-0.00021939999599999998,-9.287481e-06,625044008.23,0.000320742427,0.0075769618039999995,600335.0,国机汽车,301215.0,中汽股份,国机汽车,600335.0,中汽股份,301215.0,300825
16016,航运港口,-0.48,2023-08-08 00:00:00,13,27,-22122981.0344,-0.17865087000000002,841916248467.26,-2.6276938e-05,-1.1352445999999999e-05,12305373866.31,0.006314524146,0.01461591208,601866.0,中远海发,601919.0,中远海控,海航科技,600751.0,锦州港,600190.0,601919
16030,装修建材,-0.72,2023-08-08 00:00:00,11,23,-27209596.8644,-0.08370997000000001,458727122609.77,-5.9315430999999996e-05,-1.3962652e-05,32358140730.54,0.016604636574,0.070538974339,2372.0,伟星新材,2271.0,东方雨虹,蒙娜丽莎,2918.0,坚朗五金,2791.0,2271
16041,化学制品,-0.63,2023-08-08 00:00:00,32,72,-29425410.1232,-0.061598599999999996,1227117297726.76,-2.3979297e-05,-1.5099701e-05,47708150458.54,0.024481520943,0.038878231565,605589.0,圣泉集团,600309.0,万华化学,圣泉集团,605589.0,宇新股份,2986.0,600309
16069,燃气,-1.3,2023-08-08 00:00:00,4,16,-50034873.2438,-1.11299235,239157897324.06,-0.000209212716,-2.5675483e-05,4469360614.53,0.0022934602249999997,0.018687907297,600803.0,新奥股份,603393.0,新天然气,新奥股份,600803.0,中泰股份,300435.0,600803
16061,专用设备,-1.0,2023-08-08 00:00:00,36,95,-51213816.6948,-0.17738201,1088372758437.13,-4.7055401e-05,-2.6280459999999997e-05,28431026735.58,0.014589431150999999,0.026122508594,300751.0,迈为股份,2031.0,巨轮智能,卓然股份,688121.0,东方精工,2611.0,300751
16075,电源设备,-1.35,2023-08-08 00:00:00,4,15,-51257689.9872,-0.84893339,292141551669.58,-0.00017545497999999998,-2.6302972999999998e-05,5941090534.81,0.003048681011,0.020336342095,600875.0,东方电气,2518.0,科士达,新雷能,300593.0,科士达,2518.0,2851
16079,光学光电子,-1.49,2023-08-08 00:00:00,16,46,-55095581.5509,-0.23679483,768152243265.62,-7.172482e-05,-2.8272394e-05,23013591146.16,0.011809464593,0.029959674462999998,100.0,TCL科技,725.0,京东方A,彩虹股份,600707.0,联创电子,2036.0,725
16001,航空机场,-0.93,2023-08-08 00:00:00,9,13,-55603946.2696,-0.30076653000000003,779933343826.5,-7.1293203e-05,-2.8533262e-05,18438593595.86,0.009461796589,0.023641242859999998,600115.0,中国东航,600009.0,上海机场,厦门空港,600897.0,中信海直,99.0,600009
16056,通信服务,-1.3599999999999999,2023-08-08 00:00:00,4,13,-56435240.2143,-0.43463855,2917954539422.03,-1.9340684999999998e-05,-2.8959842e-05,12916849337.17,0.0066283038539999995,0.004426679429999999,2544.0,普天科技,600050.0,中国联通,普天科技,2544.0,二六三,2467.0,600050
16008,交运设备,-1.21,2023-08-08 00:00:00,5,18,-56856317.0282,-0.46496008,488259413102.45,-0.000116446945,-2.9175918999999998e-05,12081239030.2,0.006199508962,0.024743484111,603129.0,春风动力,603529.0,爱玛科技,春风动力,603129.0,钱江摩托,913.0,601766
16003,物流行业,-0.75,2023-08-08 00:00:00,11,33,-58682847.5705,-0.17480865,1068021080201.61,-5.4945401999999996e-05,-3.0113205999999998e-05,33407466442.32,0.0171430999,0.03127978189,2352.0,顺丰控股,601816.0,京沪高铁,长久物流,603569.0,密尔克卫,603713.0,2352
